Bandit,Reward,Algorithm
0,1.8908780383316564,Epsilon-Greedy
0,0.7200790297804853,Epsilon-Greedy
0,-0.28943167797216574,Epsilon-Greedy
0,1.6700542840162584,Epsilon-Greedy
0,1.353690939478839,Epsilon-Greedy
0,-0.10086871585658219,Epsilon-Greedy
0,0.4339828584358496,Epsilon-Greedy
0,1.096839720411124,Epsilon-Greedy
0,0.08205332084091654,Epsilon-Greedy
0,0.9699458117005718,Epsilon-Greedy
0,0.031948506130965226,Epsilon-Greedy
0,-2.0627125691920423,Epsilon-Greedy
0,1.6556919485560722,Epsilon-Greedy
0,1.135832667046591,Epsilon-Greedy
0,0.7123053979525673,Epsilon-Greedy
0,0.5905891966419419,Epsilon-Greedy
0,1.7372205029606154,Epsilon-Greedy
0,2.094941446982112,Epsilon-Greedy
3,2.4560269247907875,Epsilon-Greedy
3,3.0204967564720113,Epsilon-Greedy
3,5.648307716752666,Epsilon-Greedy
3,5.889597684552049,Epsilon-Greedy
3,3.7117407429341105,Epsilon-Greedy
3,3.3569756227421066,Epsilon-Greedy
3,4.764668488878014,Epsilon-Greedy
3,3.2109490914286796,Epsilon-Greedy
3,4.181145911582534,Epsilon-Greedy
3,3.6198764529045593,Epsilon-Greedy
3,3.36206805282318,Epsilon-Greedy
3,4.414321696640085,Epsilon-Greedy
3,4.947706444970828,Epsilon-Greedy
3,2.6941173062068606,Epsilon-Greedy
3,2.4584995776194507,Epsilon-Greedy
3,2.77321074363977,Epsilon-Greedy
3,3.4891463462735812,Epsilon-Greedy
3,1.79600846746701,Epsilon-Greedy
3,3.718923532031029,Epsilon-Greedy
3,4.904925338520244,Epsilon-Greedy
3,3.967139790721336,Epsilon-Greedy
3,5.097665896238774,Epsilon-Greedy
3,4.520037050659359,Epsilon-Greedy
3,5.155319498275909,Epsilon-Greedy
3,4.8739765257787395,Epsilon-Greedy
3,2.4610888810297444,Epsilon-Greedy
3,3.2230836883994503,Epsilon-Greedy
3,4.673744536003592,Epsilon-Greedy
3,2.9487178965205825,Epsilon-Greedy
3,3.6061980729389553,Epsilon-Greedy
3,2.425513887195809,Epsilon-Greedy
3,2.4914028758243143,Epsilon-Greedy
3,3.4039816976371418,Epsilon-Greedy
3,6.851348171091471,Epsilon-Greedy
3,5.966059698678003,Epsilon-Greedy
3,5.9503895065832415,Epsilon-Greedy
3,3.661176900196991,Epsilon-Greedy
3,2.1521788958402723,Epsilon-Greedy
3,4.128150201385754,Epsilon-Greedy
3,4.168858057579276,Epsilon-Greedy
3,3.3599915373051354,Epsilon-Greedy
3,4.556778631982989,Epsilon-Greedy
3,1.9100594977346073,Epsilon-Greedy
